X,Y,N�,DREN,CODE ETA,ETABLISSEM,COMMUNE,QUARTIER,LATITUDE,LONGITUDE,NATURE ETA,EFFECTIF T,icon_url
-3.9932,5.3018,"489",ABIDJAN 2,"875142",ECOLE TECHNIQUE INFORMATIQUE ET COMMERCIALE (ETIC) MARCORY,MARCORY,MARCORY CENTRE,5.301800000000000,-3.993200000000000,TECHNIQUE,"149",./0.png
-3.9415,5.312,"490",ABIDJAN 2,"190288",GROUPE SCOLAIRE DES ARTS ET DES METIERS (GSAM) KOUMASSI,KOUMASSI,KOUMASSI NORD EST,5.312000000000000,-3.941500000000000,TECHNIQUE,"159",./0.png
-3.9797,5.2955,"491",ABIDJAN 2,"875163",INSTITUT DES TECHNOLOGIES D'ABIDJAN (ITA) MARCORY,MARCORY,,5.295500000000000,-3.979700000000000,TECHNIQUE,"170",./0.png
0,0,"492",ABIDJAN 2,"36106",INSTITUT PRIVE DES ARTS ET METIERS (ISPAM) PORT-BOUET,PORT-BOUET,,,,TECHNIQUE,"77",./0.png
-3.9974,5.2995,"493",ABIDJAN 2,"875115",INSTITUT SUPERIEUR DES CARRIERES COMMERCIALES (ISCC) TREICHVILLE,TREICHVILLE,ARRAS,5.299500000000000,-3.997400000000000,TECHNIQUE,"195",./0.png
-3.9616,5.304,"494",ABIDJAN 2,"10716",INSTITUT SUPERIEUR TECHNIQUE (IST) LA COLOMBE KOUMASSI,KOUMASSI,REMBLAIS,5.304000000000000,-3.961600000000000,TECHNIQUE,"305",./0.png
0,0,"495",ABIDJAN 2,"35067",INSTITUT TECHNIQUE MALLET (ITM) PORT-BOUET,PORT-BOUET,,,,TECHNIQUE,"13",./0.png
-3.8972,5.2418,"496",ABIDJAN 2,"36121",INSTITUT TECHNIQUE SAINT CYR DE MOLIERE PORT-BOUET,PORT-BOUET,ADJOUFFOU,5.241800000000000,-3.897200000000000,TECHNIQUE,"138",./0.png
-3.958,5.2906,"497",ABIDJAN 2,"36122",INSTITUT TECHNIQUE SAINT CYR KOUMASSI,KOUMASSI,SICOGI,5.290600000000000,-3.958000000000000,TECHNIQUE,"38",./0.png
-3.9721,5.2912,"498",ABIDJAN 2,"875023",INTELLECT AFRIQUE MARCORY IBIS,MARCORY,MARCORY POTOPOTO,5.291200000000000,-3.972100000000000,TECHNIQUE,"145",./0.png
-4.1122,5.3195,"499",ABIDJAN 3,"875015",ACADEMIE DES SCIENCES APPLIQUEES (A.S.A-FORMATION) YOPOUGON,YOPOUGON,NIANGON SUD,5.319500000000000,-4.112200000000000,TECHNIQUE,"33",./0.png
-4.1051,5.3279,"500",ABIDJAN 3,"11155",ADOI CENTRALE ELECTRONIQUE (ACE) YOPOUGON,YOPOUGON,NIANGON SUD,5.327900000000000,-4.105100000000000,TECHNIQUE,"269",./0.png
-4.0855,5.3588,"501",ABIDJAN 3,"875118",CENTRE DE FORMATION TECHNIQUE ET PROFESSIONNELLE LE GROUPE BOWL YOPOUGON,YOPOUGON,ANNANERAIE,5.358800000000000,-4.085500000000000,TECHNIQUE,"61",./0.png
0,0,"502",ABIDJAN 3,"25002",CENTRE DE FORMATION TECHNIQUE ET PROFESSIONNELLE / YOPOUGON SIDECI,YOPOUGON,,,,TECHNIQUE,"103",./0.png
